id	category
TAM_01	Positive
TAM_02	Positive
TAM_03	Positive
TAM_04	Positive
TAM_05	Negative
TAM_06	Positive
TAM_07	Positive
TAM_08	Positive
TAM_09	Positive
TAM_10	Positive
TAM_11	Positive
TAM_12	Positive
TAM_13	Positive
TAM_14	Positive
TAM_15	Positive
TAM_16	Positive
TAM_17	Positive
TAM_18	Positive
TAM_19	Positive
TAM_20	Positive
TAM_21	Positive
TAM_22	Positive
TAM_23	Positive
TAM_24	Positive
TAM_25	Positive
TAM_26	Positive
TAM_27	Negative
TAM_28	Positive
TAM_29	Positive
TAM_30	Positive
TAM_31	Positive
TAM_32	Positive
TAM_33	Positive
TAM_34	Positive
TAM_35	Positive
TAM_36	Negative
TAM_37	Positive
TAM_38	Negative
TAM_39	Negative
TAM_40	Positive
TAM_41	Positive
TAM_42	Positive
TAM_43	Negative
TAM_44	Positive
TAM_45	Positive
TAM_46	Positive
TAM_47	Positive
TAM_48	Positive
TAM_49	Positive
TAM_50	Positive
TAM_51	Positive
TAM_52	Positive
TAM_53	Positive
TAM_54	Positive
TAM_55	Positive
TAM_56	Positive
TAM_57	Positive
TAM_58	Positive
TAM_59	Positive
TAM_60	Positive
TAM_61	Positive
TAM_62	Positive
TAM_63	Positive
TAM_64	Positive
TAM_65	Positive
TAM_66	Positive
TAM_67	Positive
TAM_68	Negative
TAM_69	Negative
TAM_70	Positive
TAM_71	Positive
TAM_72	Positive
TAM_73	Positive
TAM_74	Positive
TAM_75	Negative
TAM_76	Negative
TAM_77	Positive
TAM_78	Positive
TAM_79	Positive
TAM_80	Negative
TAM_81	Positive
TAM_82	Positive
TAM_83	Positive
TAM_84	Positive
TAM_85	Negative
TAM_86	Negative
TAM_87	Positive
TAM_88	Positive
TAM_89	Positive
TAM_90	Positive
TAM_91	Positive
TAM_92	Negative
TAM_93	Negative
TAM_94	Negative
TAM_95	Positive
TAM_96	Negative
TAM_97	Positive
TAM_98	Positive
TAM_99	Negative
TAM_100	Positive
TAM_101	Positive
TAM_102	Positive
TAM_103	Positive
TAM_104	Negative
TAM_105	Positive
TAM_106	Negative
TAM_107	Negative
TAM_108	Positive
TAM_109	Negative
TAM_110	Negative
TAM_111	Positive
TAM_112	Positive
TAM_113	Positive
TAM_114	Positive
TAM_115	Positive
TAM_116	Positive
TAM_117	Negative
TAM_118	Positive
TAM_119	Positive
TAM_120	Positive
TAM_121	Positive
TAM_122	Positive
TAM_123	Positive
TAM_124	Positive
TAM_125	Positive
TAM_126	Positive
TAM_127	Negative
TAM_128	Negative
TAM_129	Positive
TAM_130	Positive
TAM_131	Positive
TAM_132	Positive
TAM_133	Positive
TAM_134	Positive
TAM_135	Positive
TAM_136	Positive
TAM_137	Positive
TAM_138	Negative
TAM_139	Positive
TAM_140	Positive
TAM_141	Positive
TAM_142	Positive
TAM_143	Positive
TAM_144	Positive
TAM_145	Positive
TAM_146	Positive
TAM_147	Positive
TAM_148	Positive
TAM_149	Negative
TAM_150	Negative
TAM_151	Positive
TAM_152	Positive
TAM_153	Positive
TAM_154	Positive
TAM_155	Positive
TAM_156	Negative
TAM_157	Positive
TAM_158	Positive
TAM_159	Positive
TAM_160	Negative
TAM_161	Positive
TAM_162	Positive
TAM_163	Positive
TAM_164	Negative
TAM_165	Positive
TAM_166	Positive
TAM_167	Positive
TAM_168	Positive
TAM_169	Negative
TAM_170	Positive
TAM_171	Positive
TAM_172	Positive
TAM_173	Positive
TAM_174	Positive
TAM_175	Positive
TAM_176	Positive
TAM_177	Positive
TAM_178	Positive
TAM_179	Positive
TAM_180	Positive
TAM_181	Positive
TAM_182	Positive
TAM_183	Positive
TAM_184	Positive
TAM_185	Positive
TAM_186	Positive
TAM_187	Positive
TAM_188	Positive
TAM_189	Positive
TAM_190	Positive
TAM_191	Positive
TAM_192	Positive
TAM_193	Positive
TAM_194	Positive
TAM_195	Positive
TAM_196	Positive
TAM_197	Positive
TAM_198	Positive
TAM_199	Positive
TAM_200	Positive
TAM_201	Positive
TAM_202	Positive
TAM_203	Positive
TAM_204	Positive
TAM_205	Positive
TAM_206	Positive
TAM_207	Positive
TAM_208	Positive
TAM_209	Positive
TAM_210	Positive
TAM_211	Positive
TAM_212	Positive
TAM_213	Negative
TAM_214	Positive
TAM_215	Positive
TAM_216	Positive
TAM_217	Positive
TAM_218	Positive
TAM_219	Positive
TAM_220	Positive
TAM_221	Positive
TAM_222	Positive
TAM_223	Positive
TAM_224	Positive
TAM_225	Positive
TAM_226	Positive
TAM_227	Positive
TAM_228	Positive
TAM_229	Positive
TAM_230	Positive
TAM_231	Negative
TAM_232	Positive
TAM_233	Positive
TAM_234	Positive
TAM_235	Positive
TAM_236	Positive
TAM_237	Positive
TAM_238	Positive
TAM_239	Positive
TAM_240	Positive
TAM_241	Negative
TAM_242	Negative
TAM_243	Positive
TAM_244	Positive
TAM_245	Positive
TAM_246	Positive
TAM_247	Positive
TAM_248	Positive
TAM_249	Positive
TAM_250	Positive
TAM_251	Negative
TAM_252	Negative
TAM_253	Positive
TAM_254	Positive
TAM_255	Positive
TAM_256	Negative
TAM_257	Positive
TAM_258	Positive
TAM_259	Positive
TAM_260	Positive
TAM_261	Positive
TAM_262	Positive
TAM_263	Negative
TAM_264	Negative
TAM_265	Positive
TAM_266	Negative
TAM_267	Positive
TAM_268	Positive
TAM_269	Negative
TAM_270	Negative
TAM_271	Positive
TAM_272	Positive
TAM_273	Positive
TAM_274	Positive
TAM_275	Positive
TAM_276	Positive
TAM_277	Positive
TAM_278	Positive
TAM_279	Negative
TAM_280	Negative
TAM_281	Positive
TAM_282	Positive
TAM_283	Positive
TAM_284	Positive
TAM_285	Positive
TAM_286	Positive
TAM_287	Negative
TAM_288	Positive
TAM_289	Positive
TAM_290	Positive
TAM_291	Positive
TAM_292	Negative
TAM_293	Positive
TAM_294	Positive
TAM_295	Positive
TAM_296	Positive
TAM_297	Positive
TAM_298	Negative
TAM_299	Positive
TAM_300	Negative
TAM_301	Positive
TAM_302	Positive
TAM_303	Positive
TAM_304	Positive
TAM_305	Positive
TAM_306	Positive
TAM_307	Positive
TAM_308	Positive
TAM_309	Negative
TAM_310	Positive
TAM_311	Positive
TAM_312	Positive
TAM_313	Positive
TAM_314	Positive
TAM_315	Positive
TAM_316	Positive
TAM_317	Negative
TAM_318	Positive
TAM_319	Positive
TAM_320	Positive
TAM_321	Positive
TAM_322	Positive
TAM_323	Negative
TAM_324	Negative
TAM_325	Positive
TAM_326	Positive
TAM_327	Positive
TAM_328	Negative
TAM_329	Positive
TAM_330	Positive
TAM_331	Negative
TAM_332	Positive
TAM_333	Positive
TAM_334	Negative
TAM_335	Positive
TAM_336	Positive
TAM_337	Positive
TAM_338	Positive
TAM_339	Positive
TAM_340	Positive
TAM_341	Positive
TAM_342	Positive
TAM_343	Positive
TAM_344	Positive
TAM_345	Positive
TAM_346	Positive
TAM_347	Negative
TAM_348	Negative
TAM_349	Positive
TAM_350	Positive
TAM_351	Positive
TAM_352	Negative
TAM_353	Positive
TAM_354	Negative
TAM_355	Positive
TAM_356	Positive
TAM_357	Positive
TAM_358	Positive
TAM_359	Negative
TAM_360	Positive
TAM_361	Negative
TAM_362	Positive
TAM_363	Positive
TAM_364	Positive
TAM_365	Negative
TAM_366	Negative
TAM_367	Negative
TAM_368	Negative
TAM_369	Positive
TAM_370	Positive
TAM_371	Negative
TAM_372	Negative
TAM_373	Positive
TAM_374	Negative
TAM_375	Positive
TAM_376	Negative
TAM_377	Positive
TAM_378	Negative
TAM_379	Positive
TAM_380	Positive
TAM_381	Positive
TAM_382	Positive
TAM_383	Positive
TAM_384	Positive
TAM_385	Negative
TAM_386	Positive
TAM_387	Positive
TAM_388	Positive
TAM_389	Positive
TAM_390	Positive
TAM_391	Positive
TAM_392	Positive
TAM_393	Negative
TAM_394	Positive
TAM_395	Positive
TAM_396	Positive
TAM_397	Positive
TAM_398	Positive
TAM_399	Positive
TAM_400	Negative
TAM_401	Positive
TAM_402	Positive
TAM_403	Positive
TAM_404	Positive
TAM_405	Negative
TAM_406	Negative
TAM_407	Positive
TAM_408	Positive
TAM_409	Positive
TAM_410	Positive
TAM_411	Positive
TAM_412	Positive
TAM_413	Positive
TAM_414	Positive
TAM_415	Positive
TAM_416	Positive
TAM_417	Positive
TAM_418	Positive
TAM_419	Positive
TAM_420	Positive
TAM_421	Positive
TAM_422	Positive
TAM_423	Positive
TAM_424	Positive
TAM_425	Positive
TAM_426	Positive
TAM_427	Positive
TAM_428	Positive
TAM_429	Negative
TAM_430	Positive
TAM_431	Positive
TAM_432	Positive
TAM_433	Negative
TAM_434	Positive
TAM_435	Positive
TAM_436	Positive
TAM_437	Positive
TAM_438	Positive
TAM_439	Negative
TAM_440	Positive
TAM_441	Positive
TAM_442	Positive
TAM_443	Positive
TAM_444	Positive
TAM_445	Positive
TAM_446	Positive
TAM_447	Positive
TAM_448	Positive
TAM_449	Positive
TAM_450	Positive
TAM_451	Positive
TAM_452	Positive
TAM_453	Positive
TAM_454	Positive
TAM_455	Positive
TAM_456	Positive
TAM_457	Positive
TAM_458	Positive
TAM_459	Negative
TAM_460	Positive
TAM_461	Positive
TAM_462	Positive
TAM_463	Positive
TAM_464	Positive
TAM_465	Negative
TAM_466	Positive
TAM_467	Positive
TAM_468	Positive
TAM_469	Positive
TAM_470	Positive
TAM_471	Positive
TAM_472	Positive
TAM_473	Positive
TAM_474	Positive
TAM_475	Negative
TAM_476	Positive
TAM_477	Positive
TAM_478	Positive
