id	category
Mal_1	Positive
Mal_2	Positive
Mal_3	Positive
Mal_4	Positive
Mal_5	Negative
Mal_6	Negative
Mal_7	Positive
Mal_8	Positive
Mal_9	Positive
Mal_10	Positive
Mal_11	Positive
Mal_12	Positive
Mal_13	Positive
Mal_14	Positive
Mal_15	Positive
Mal_16	Positive
Mal_17	Positive
Mal_18	Positive
Mal_19	Positive
Mal_20	Positive
Mal_21	Positive
Mal_22	Positive
Mal_23	Negative
Mal_24	Positive
Mal_25	Negative
Mal_26	Positive
Mal_27	Negative
Mal_28	Positive
Mal_29	Positive
Mal_30	Positive
Mal_31	Positive
Mal_32	Positive
Mal_33	Positive
Mal_34	Positive
Mal_35	Negative
Mal_36	Positive
Mal_37	Positive
Mal_38	Positive
Mal_39	Negative
Mal_40	Positive
Mal_41	Positive
Mal_42	Positive
Mal_43	Positive
Mal_44	Positive
Mal_45	Positive
Mal_46	Positive
Mal_47	Negative
Mal_48	Positive
Mal_49	Positive
Mal_50	Positive
Mal_51	Positive
Mal_52	Positive
Mal_53	Positive
Mal_54	Negative
Mal_55	Positive
Mal_56	Positive
Mal_57	Positive
Mal_58	Positive
Mal_59	Positive
Mal_60	Positive
Mal_61	Positive
Mal_62	Positive
Mal_63	Positive
Mal_64	Positive
Mal_65	Positive
Mal_66	Positive
Mal_67	Positive
Mal_68	Positive
Mal_69	Positive
Mal_70	Positive
Mal_71	Positive
Mal_72	Positive
Mal_73	Positive
Mal_74	Positive
Mal_75	Positive
Mal_76	Positive
Mal_77	Positive
Mal_78	Positive
Mal_79	Positive
Mal_80	Positive
Mal_81	Negative
Mal_82	Positive
Mal_83	Positive
Mal_84	Positive
Mal_85	Positive
Mal_86	Positive
Mal_87	Negative
Mal_88	Positive
Mal_89	Positive
Mal_90	Positive
Mal_91	Negative
Mal_92	Positive
Mal_93	Positive
Mal_94	Positive
Mal_95	Positive
Mal_96	Positive
Mal_97	Positive
Mal_98	Positive
Mal_99	Positive
Mal_100	Positive
Mal_101	Positive
Mal_102	Positive
Mal_103	Positive
Mal_104	Positive
Mal_105	Positive
Mal_106	Negative
Mal_107	Positive
Mal_108	Positive
Mal_109	Positive
Mal_110	Negative
Mal_111	Positive
Mal_112	Positive
Mal_113	Positive
Mal_114	Positive
Mal_115	Positive
Mal_116	Positive
Mal_117	Positive
Mal_118	Positive
Mal_119	Positive
