text_trans	category
ondu deshad munduvariyuvudu ader aarthik stateannu avalambisuvudill. avaru manaviyateyalli eshtu samartharu ennuvudannu avalambiside. bharatadalli anaksharate ide aa anaksharastharannu avar anaksharateye	Negative
kannadadalli daily tech apdates padeyalu sabsqrib madi namm channelge	Positive
Super sar song	not-Kannada
Tiktokers present situation... nnoduvavaru yaaru namm videonu	Negative
Super san verry naise....	Positive
Varshakke 3 thagadu movie madi industry haal mado hero galu ondh kade adrenn3 Varsha kasta pattu ondhu olle film mado namma Rakshith Shetty haagu Yash innondh kade n	Negative
Tickets amount 10000 adru mosa illa ... Love you  all	Positive
Super super super film I can't explain	Positive
@Wild Rex kattabeku bronKaMdiwA kattutte  bro	Mixed feelings
shankaragouda desaigoudra super	Positive
@Vinay Vn  nani gentle men??	unknown state
Nayanappa's book ??	unknown state
Who is here after 300k likes	Mixed feelings
Sir nimm maatu 100 kke 100% satya..	Positive
Very nice togari tippa story	Positive
Superb songnxIpaNNana abhimangal kadeind rakshit shettiyavarige shubhavagali....	Positive
Erbahudu please support maadi ea rakshit sitting sir genRashmikage hotte uribeku nodi	Negative
Promotion chennagi nadtilla	Negative
Dislike madiroeu pakka Hollywood heroine fans	Negative
Tq bro for saport Trollers iam troller njE hind	Positive
Adi and dia	Positive
Bro a game yavdu	Mixed feelings
Finally  movie nodaytu..... Adbhuta atyadbhuta......... Nodo prati kshananu taleli budhi odtane eirute...... Amazing	Positive
Different star rakshit sir	not-Kannada
Bro superb keep doing	not-Kannada
rei nimm tandeyannu nenedu nivu mosale kanniru hakuttira	Negative
ide thar kannada chalanchitragalannu kodtare rakshit shettiyawar dhanyavadgalu	Positive
Super song buddy	Positive
Daily hakri........ nim video super agirutte	Positive
Wat dat means bro	unknown state
hi good day next	not-Kannada
Super   music	not-Kannada
Eega ellakade ursthayirodu kannadigare	Negative
Yes boss e film maatea 7 sala alla 10 sala nodidru bore aagalla	Positive
enu madodu sar desh uddar maduvashtu duddannu nakli gandhigalu luty madiddare adu alde obb videshi mahile kaiyalli desh sikku barbarad parasthtiyalli bandubittide aval bank balens 3 billian ide yarappan mane duddu adu swalp ader bagge ondu video madi luticorar nakli gandhigal bagge	Negative
Game yavadu bro adu	Mixed feelings
adbhutavad cinema. naanu ittichege nodid ell kannada cinemagaligint idu ondu took jasti. bhavanegal bhandarvannu tumbi koduv intah chitragalu hit agadiruvudu kannada chitrarangad viparyas. nirdeshkar kalatmakate hagu srujanshilatheyannu hogallu padgale salvu.. int sadabhiruchiya chitragale kannada chitrarangad jeeval. kathe	Negative
@Ajay Joshi Bhai kannada language me dekh mujhe konsi Kannada aati prr samaj aa gyii	not-Kannada
Ajanesh lokanath	unknown state
Bere singer ge ee song kettidre innu cholo keltittu	Negative
Lo gube don't compare anyone yellaru namma kannada super star	Negative
38 M	not-Kannada
Yakebdre krishnana shapa aduke	Mixed feelings
bed nivu olleya manushya	Positive
Movie is promising	not-Kannada
Super song	not-Kannada
shetrey signeder step .....magical compos mattomme ...ajanish loknath............ mass elementina i hadu bail tumba dinad mele matte matte hockey kelide........... hadinalliruva sahityadante avane shrimannarayan charitre sristisuv avatharavagali	Positive
Super music avane srimannarayana movie super it movie anoru like me	Positive
@Wild Rex कब तक हो सकती है रिलीज़	not-Kannada
Super danger #1	Mixed feelings
nijawagiu idu charitre srushtiso avataar.. hats aaf naarayan	Positive
Avane srimannarayana super songs hands up	not-Kannada
All d best from appu fans	Positive
Neev super marree...	unknown state
Kodona bro adukkenu	Mixed feelings
Kshamisi sir nanu tumba miss madkonde	Positive
Tiktok mado gaandu s.. maklu	Negative
Togari. Tippa. Super	Positive
Olle kelsa Alva mem	Positive
Nija guru ..... Aa takattu nam industry Alli yargu Ella....	Positive
@VARAPRASAD K K super bro	not-Kannada
SupernTelugu lo kuda	Positive
Rakshit shetty sir ge jai	Positive
different but unique & epic song	not-Kannada
Even I had Same feelings..!	not-Kannada
First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr	Positive
Super................ Song	not-Kannada
Good job..  Goahead mahn	not-Kannada
En song guruve I love this song K G F bitre ede super movie guru.......super	Positive
Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration	Positive
U missed birbal	not-Kannada
Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.	Mixed feelings
maneindle sampadisbeke? With income proof. WhatsApp 6362806874	unknown state
Superb new avatar	not-Kannada
Nija nivu mahabaratha nodilva	Mixed feelings
GAVISH SANGATI ćqqqq1	not-Kannada
Na gentleman tiktok banu  super guru	Positive
jai sri ram	unknown state
Hi Chi ugh	unknown state
nivu helidu sari nanu follow madthini🤗	Positive
Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir	Positive
Entha song na dislike madtiralla loafer nan makkala thu nim janumakke	Negative
Pubg kooda ban agbeku guru..	unknown state
@Manju Sonu  abhinandane	unknown state
That making was osm #ASN 🤩🤩🤩	Positive
i hadu rashmik mangannanvarige arpane 🤗	Negative
Super guru awesome video	Positive
@Nandi Parthasarathi oho nandini nindu milk parlor bere idiya	Negative
@prithvi nayak Roberrt bangada goth aagutte	Negative
One like for hands up	not-Kannada
nivu halliya bhasheya shailialli rosht maduvude.. namage atyuttam manaranjane	Positive
elne din kelta iddene	Positive
ashwaththam chiranjivi agiddu hege	Mixed feelings
togari abhivruddhi nigamad vyavasthapak nirdeshkarige	Positive
Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I	Positive
wow...  great work..	not-Kannada
Are bhai Yek dum phel diya	not-Kannada
Step Super bossu	Positive
nimm kannada badke tumba sogasagide.. i cinema kuritu  nivu hevid matugalellavu aksharshah nij. nirdeshkar srujanshilate hagu kalatmakate eradu tarkakke nilukddu	Negative
Idu beku ivatthu full happy agidivi bro  osm	Positive
nijavaglu tumba olle film  tumba isht aayitu	Positive
Soori anba song nodi bandavru  like maadi	unknown state
Sir super great	not-Kannada
prayatnakke dodda salaam	Positive
Super song in kannada	Positive
@Raja Vishnuvardhana Tamil of ciurse	unknown state
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Hands up like madi	unknown state
Idu chaitre srustiso avatara	Positive
@kichchan havali astu cheepalla bido nimtara 60cr above madide pailwan kurukshetra 100cr collection madide	Negative
Okie okie anta helboduu powerful music irbekittu	Negative
Super Duper song	Positive
Movie chenagide hogi nodi	Positive
Hindi me lao	unknown state
Supper  p boss... Yar unlike madidhare nodi.. urkondu saytor anta	Negative
Tik tok ban agirodike Nange Tumba Tumba Kushi ide happy 🥰	Positive
Dabba movie Soo sad	Negative
Karabu Song Keli....bejar agii .....e song kelthaa edhini....🤗🤗🤩🤩🤩	Positive
Who like rakshit Shety hit like	unknown state
Remake  ka baap prajwal is back with remake	not-Kannada
Hindi illa Andre 300 crore agodu dream ashte	Positive
Navu matar use madatilla jagatinna yella deshgalu use madatidare.solemagane	Negative
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
achch kannada san souper	Positive
Pritvi Amber super	Positive
@Prithvi Vishwanath guruve nav #DBoss fans kannada songs nodoku modle like madovru sumne thika yella matadbedi.	Negative
@Shrthi Shrthi huiuu	unknown state
Swalpa aerial tara ide.	unknown state
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
adhbut .... BGM super..	Mixed feelings
@shiva prakash avru legends. Kannada film industry Annu ee varege thegondu bandirodu avre. Avrinda ivthina actors ge easy agirodu. nIdara madyadalli kannada film industry track kalkondithu	Positive
Hindi me kb realise hogi?	not-Kannada
Tugari tippa super...	Positive
i ell anshgainnu gamnisidare nam deshdalliu sarvabhaumatva irabekittu ansutte.	Positive
Super song 100 days pakka	Positive
Boycott tik tok	not-Kannada
Devaru annonu idaane Andre avru shaapa kottidddu nijaane aagidre avru idde iruttaare elllooo ondu jaagadallli manushyara kannige kaanollla aste jaiii Sri Krishna	Positive
idu olleya hadu...olleya hadugalu kelta kelta isht aguttave...	Positive
@Nikistark x	unknown state
idu khandit charitre srushtiso avataar!	Positive
Fan from Tollywood	not-Kannada
Kaiwarada thathayya(yogi narayanappa)	unknown state
Jai prajvalnJai d boss	Mixed feelings
@s s kirik party movie ali heroine name	Mixed feelings
Ee Tara hosa prayatna namge	Mixed feelings
@Vishal Shetty lo beedhi soole magane....nin prakarane belsbeku annodidre nim kade maado yakshagaana	Negative
Bro nim videos delete agalla bedi  bro don't worry do videos bro	Positive
chandan shetti trol video nivu nodi negadde idre naav garanti	Positive
Lv u rrr shetty super	not-Kannada
@Nandi Parthasarathi ninenu barodu tulle nane bartini bozimagane crct adres heho bekup	Negative
Desha modlu pls ban agbeku tik tok	Positive
Bidu guru vorkolru edri moduke hogudu nLike China nodi navu bega fast hagbekantilva hage	Mixed feelings
Nim ge esta agiddare like.Comments.madi	Positive
mooth nambike iruvavaregu namm desh uddar hagall	Negative
Super bro nan nimna support maadthini	Positive
@Creative Kannadiga ok bro	not-Kannada
tumba varshad hinde kalidde.ig sikkiddu sakat khushi agide	Positive
super guru yellidde guru	Positive
Super  video	Positive
triler tumb chennagide nimm chitra olle yashaswi aggli	Positive
moovie nodelu vating nalli iddini	Positive
Ean dailag guru	Mixed feelings
Next leval movie in prajval	not-Kannada
Bhal Varshada nantra keli tumba khushiyatu..	Positive
odondu maatu chappali  hodedante ittu guru obbobru nodebekittu sar chinage huttiruv tarahu aduttare namm deshdalli eshtu jan sainikaru  saytare avarige anagabeku tick tock like bandre sakun nann coment alli enadaru tappiddare kshamisi jai hind jai karnataka mate	Mixed feelings
uttar kannadad hemme y nat and namm mechchin	Positive
sudip sar and darshan sar avarige iro fance faloing rakshit shetti ill andru san 2m  mattu tisar 8.5.m benki guru moovie  vating	Positive
namm deshad nantar avarige swatantra sikkiruvudu avareke ashtu munduvaredru nnnamma desh congress handigalu yake uddhaar madlill	Positive
Idu Fantasy Film tara kantide alva?	Negative
Wow wow wow wow wow..Lovely guru	not-Kannada
