text	category	text_trans
Sunny chechi fans evide like adichu power kaniku🤣🤣	unknown_state	Sunny chechi fans evide like adichu power kaniku🤣🤣
Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu	Positive	Angane july month ile ende aadyathe leave njan angu edukuva July 5 nu
ഏട്ടന്റെ പുതിയ പടത്തിനു വേണ്ടി കാത്തിരിക്കുന്നവർ ലൈക്‌ ബട്ടൺ അടിച്ചു പോളിക്കോ-----------	unknown_state	etinte putia patattinu vendi kattiriunnavർ lik buttൺ atichu folico-----------
ഇനി ലാലേട്ടന്റെ വേട്ട തുടങ്ങാൻ പോകുന്നു....... മുൻ കാല collection recordukal ഭേതിച്ചിരിക്കും	Positive	ini laletante veta tulangaൻ pokunnu....... muൻ kaal collection recordukal bhetichirik
Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya	Positive	Trailer powli oru raksha illa . Pakshea padam irangattea veruthea over degrade venda padam irangittu paraya
Malayalam padam thanne aanu 2020 vere level	Positive	Malayalam padam thanne aanu 2020 vere level
History of Mammukka   kattawaiting and support love u Mammukka	Positive	History of Mammukka   kattawaiting and support love u Mammukka
yaaru andha mech le penne ?	unknown_state	yaaru andha mech le penne ?
ആമയെ വെള്ളത്തിൽ മുക്കി കൊല്ലുന്ന ഇനമാ.. ..	unknown_state	amaye wellttiൽ mukki kollun inma.. ..
ജോഷി രണ്ടുംകല്പിച്ചു ആണെല്ലോ... സംഭവം എന്തായാലും പൊളിക്കും	Positive	joshi randukalpichu anello... sambhava entayal polik
ഇതിൽ സ്കോർ ചെയ്യാൻ പോവുന്നത് സുഷിൻ ശ്യാം തന്നെ	unknown_state	itiൽ scoർ cheyyaൻ povunnat sushiൻ shya tanne
സ്വാസിക.... സ്വാസു.... love u dear.... all the best മുത്തേ... ALL KERALA SWASIKA FANS ASSOCIATION.....	Positive	swasik.... svaasu.... love u dear.... all the best mutte... ALL KERALA SWASIKA FANS ASSOCIATION.....
ഒരു കാതിൽ ഓല ഞാൻ കണ്ടീല ... ചെക്ക്	unknown_state	oru kaatiൽ ol naൻ contil ... check
SIDDIQUE nde hit aaya last movie ethaarunnu	unknown_state	SIDDIQUE nde hit aaya last movie ethaarunnu
ആദ്യ നൂറു കോടി വേണ്ടവർ... adi mwonoose like	unknown_state	aadya nuru koti ventavർ... adi mwonoose like
ഈ സിനിമ കാണണം എന്ന് ആഗ്രഹം ഉള്ള എത്ര പേരുണ്ട് ഇവിടെ	unknown_state	i sinim kanana enne agraha ull etra perund ivite
Ithinidakk 2 pearum dislike paniyum kashttam	Negative	Ithinidakk 2 pearum dislike paniyum kashttam
Vilan kanndide chiri adakkan pattath njan kannde film  ithannu	unknown_state	Vilan kanndide chiri adakkan pattath njan kannde film  ithannu
My fav  daily 4 വട്ടം കേള്ക്കും	Positive	My fav  daily 4 vatta kelku
last le aa idi ntammooo Range saanam	Positive	last le aa idi ntammooo Range saanam
ikka kidukki kalanju ethe mass Enne paranjal pora marana mass	Positive	ikka kidukki kalanju ethe mass Enne paranjal pora marana mass
സലിം കുമാർ ആകെ ഒരു second മാത്രേ trailer ൽ ഉള്ളൂ... But....🤩🤩	Positive	salim kumaർ aake oru second matre trailer ൽ ullu... But....🤩🤩
Mass Director Joshi Sir ഗംഭീര തിരിച്ചുവരവ് 🤗🤗🤗🤗	Positive	Mass Director Joshi Sir gambhir tirichuvara 🤗🤗🤗🤗
Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane	Positive	Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane
ശ്രുതി ഉണ്ട് അല്ലോ ഇതിൽ ചെറിയ റോൾ	unknown_state	shruti und allo itiൽ cheria roൾ
Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..	Negative	Padam onnu eragikotteda pahayanmare appalekum chelakkan kuthirikunu ororthanmaru.. Onnu poyinada..
