text_clean	y
ಒದ ದಶದ ಮದವರಯವದ ಆರಥಕ ಸಥತಯನನ ಅವಲಬಸವದಲಲ ಮನವಯತಯಲಲ ಎಷಟ ಸಮರಥರ ಎನನವದನನ ಅವಲಬಸದ ಭರತದಲಲ ಅನಕಷರತ ಇದ ಅನಕಷರಸಥರನನ ಅನಕಷರತಯ	Negative
ಕನನಡದಲಲ ಡಲ ಟಕ ಅಪಡಟಸ ಪಡಯಲ ಸಬಸಕರಬ ಮಡ ನಮಮ ಚನನಲಗ	Positive
ಸಪರ ಸರ ಸಗ	not-Kannada
ಟಕಟಕರಸ ಪರಸಟ ಸತಏಶನ ನನಡವವರ ಯರ ನಮಮ ವಡಯನ	Negative
ಸಪರ ಸಗ ವರ ನಸ	Positive
ವರಷಕಏ 3 ಥಗದ ಮವ ಮದ ಇಡಸಟರ ಹಲ ಮಡ ಹರ ಗಲ ಓಧ ಕಡ ಅದರನ3 ವರಷ ಕಸತ ಪತತ ಓಧ ಓಲ ಫಲಮ ಮಡ ನಮಮ ರಕಷತ ಶಟ ಹಗ ಯಶ ಇನನಧ ಕಡ	Negative
ಟಕಟಸ ಅಮಟ 10000 ಮಸ ಇಲಲ ಲವ ಅಲ	Positive
ಸಪರ ಸಪರ ಸಪರ ಫಲಮ ಐ ಕನತ ಎಕಸಪಲನ	Positive
ವಲಡ ರಕಸ ಕಟಟಬಕ ಬರನಖಡತ ಕಟಟತತ ಬರ	Mixed feelings
ಶಕರಗಡ ದಸಯಗಉದರ ಸಪರ	Positive
ವನಯ ವನ ನನ ಜಟಲ ಮನ	unknown state
ನಯನಪಪಸ ಬಕ	unknown state
ವ ಇಸ ಹರ ಆಫಟರ 300ಕ ಲಕಸ	Mixed feelings
ಸರ ನಮಮ ಮತ 100 ಕಕ ೧೦೦ ಸತಯ	Positive
ವರ ನಸ ಟಗರ ತಪಪ ಸಟರ	Positive
ಸಪರಬ ಸನನದಪಣಣನ ಅಭಮನಗಳ ಕಡಯದ ರಕಷತ ಶಟಟಯವರಗ ಶಭವಗಲ	Positive
ಎರಬಹದ ಪಲಸ ಸಪಪರಟ ಮದ ರಕಷತ ಸಟಗ ಸರ ಜನರಶಮಕಗ ಹಟ ಉರಬಕ ನದ	Negative
ಪರಮಶನ ಚನನಗ ನಡತಲಲ	Negative
ಡಸಲಕ ಮದರಯ ಪಕಕ ಹಲವಡ ಹರಯನ ಫಸ	Negative
ತಕ ಬರ ಫರ ಸಪರಟ ಟರಲರಸ ಇಯಮ ಟರಲರ ನಜ ಹದ	Positive
ಆಡ ದಯ	Positive
ಬರ ಗಮ ಯವದ	Mixed feelings
ಫನಲಲ ಮವ ನದಯಟ ಅದಭತ ಅತಯದಭತ ನಡ ಪರತ ಕಷನನ ತಲಲ ಬಧ ಒಡಟನ ಇರಟ ಅಮಝಗ	Positive
ದಫರಟ ಸಟರ ರಕಷತ ಸರ	not-Kannada
ಬರ ಸಪರಬ ಕಪ ಡಇಗ	not-Kannada
ನಮಮ ತದಯನನ ನನದ ನವ ಮಸಳ ಕಣಣರ ಹಕತತರ	Negative
ಇದ ಥರ ಕನನಡ ಚಲನಚತರಗಳನನ ಕಡತರ ರಕಷತ ಶಟಟಯವರ ಧನಯವದಗಳ	Positive
ಸಪರ ಸಗ ಬಡಡ	Positive
ಡಲ ಹಕರ ನಮ ವಡಯ ಸಪರ ಅಗರಟಟ	Positive
ವಟ ದಟ ಮಸ ಬರ	unknown state
ಹ ಗಡ ದಏ ನಕಸತ	not-Kannada
ಸಪರ ಮಯಸಕ	not-Kannada
ಎಲಕಡ ಉರಸಥಈರದ ಕನನದಗರ	Negative
ಯಸ ಬಸ ಫಲಮ ಮಟಯ 7 ಸಲ ಅಲಲ 10 ಸಲ ನಡದರ ಬರ ಆಗಲಲ	Positive
ಏನ ಮಡದ ಸರ ದಶ ಉದದರ ಮಡವಷಟ ದಡಡನನ ನಕಲ ಗಧಗಳ ಲಟ ಮಡದದರ ಅದ ಅಲದ ಒಬಬ ವದಶ ಮಹಳ ಕಯಲಲ ದಶ ಸಕಕ ಬರಬರದ ಪರಸಥತಯಲಲ ಬದಬಟಟದ ಅವಳ ಬಯಕ ಬಯಲನಸ 3 ಬಲಯನ ಇದ ಯರಪಪನ ಮನ ದಡಡ ಅದ ಸವಲಪ ಬಗಗ ಒದ ವಡಯ ಮಡ ಲಟಕರರ ನಕಲ ಗಧಗಳ ಬಗಗ	Negative
ಗಮ ಯವಡ ಬರ	Mixed feelings
ಅದಭತವದ ಸನಮ ನನ ಇತತಚಗ ನಡದ ಎಲಲ ಕನನಡ ಸನಮಗಳಗತ ಇದ ಒದ ತಕ ಜಸತ ಭವನಗಳ ಭಡರವನನ ತಬ ಕಡವ ಇತಹ ಚತರಗಳ ಹಟ ಆಗದರವದ ಕನನಡ ಚತರರಗದ ವಪರಯಸ ನರದಶಕರ ಕಲತಮಕತ ಹಗ ಸಜನಶಲತಯನನ ಹಗಳಲ ಪದಗಳ ಸಲವ ಇತ ಸದಭರಚಯ ಚತರಗಳ ಕನನಡ ಚತರರಗದ ಜವಳ ಕಥ	Negative
ಅಜಯ ಜಶ ಭಯ ಕನನಡ ಲಗವಗ ಮ ದಖ ಮಝ ಕಸ ಕನನಡ ಪರ ಸಮಜ ಜಞ	not-Kannada
ಅಜನಶ ಲಕನಥ	unknown state
ಬರ ಸಗರ ಗ ಸಗ ಕತತದರ ಇನನ ಚಲ ಕಲತಟಟ	Negative
ಲ ಗಬ ಡನತ ಕಪರ ಅನಯನ ಯಲಲರ ನಮಮ ಕನನಡ ಸಪರ ಸಟರ	Negative
38 ಮ	not-Kannada
ಯಕಬದರ ಕಷನನ ಶಪ ಅಡಕ	Mixed feelings
ಬಡ ನವ ಒಳಳಯ ಮನಷಯ	Positive
ಮವ ಇಸ ಪರಮಸಗ	not-Kannada
ಸಪರ ಸಗ	not-Kannada
ಶಟರ ಸಗನಚರ ಸಟಪ ಮಯಜಕಲ ಕಪಸ ಮತತಮಮ ಅಜನಶ ಲಕನಥ ಮಸ ಎಲಮಟನ ಹಡ ತಬ ದನದ ಮಲ ಮತತ ಮತತ ಹಕ ಕಳದ ಹಡನಲಲರವ ಸಹತಯದತ ಶರಮನನರಯಣ ಚರತರ ಸಷಟಸವ ಅವತರವಗಲ	Positive
ಸಪರ ಮಯಸಕ ಶರಮನನರಯಣ ಮವ ಸಪರ ಇತ ಮವ ಅನರ ಲಕ ಮ	Positive
ವಲಡ ರಕಸ कब तक ह सकत ह रलज	not-Kannada
ಸಪರ ದಗರ 1	Mixed feelings
