text	category
കിസ് കിയ ഗോ സീറോ ട്രെയിലർ ആലപിച്ച കാരോ പോലെയുള്ള ഉപന്യാസം	Negative
മൂക്കുത്തി കാണാതായപ്പോ ഇത്രേം ഡാൻസ് .അപ്പോൾ ആ അരഞ്ഞാണം എങ്ങാനും കാണാതെ പോയിരുന്നെങ്കിലോ .ഹമ്മോ ഓർക്കാൻ കൂടി വയ്യ	unknown_state
ഇന്ത്യയിലെ ഏറ്റവും വലിയ പാത! ഇന്ത്യയിലെ ഏറ്റവും വലിയ താരങ്ങൾ! സൂപ്പർസ്റ്റാർ രജനികാന്ത സൂപ്പർസ്റ്റാർ അക്ഷയ് കുമാർ	Negative
ശരി ഭായ് ഞെട്ടി	Negative
ആഹാ... കളർ ആയിട്ടുണ്ടല്ലോ🤘🤘 വിനീത് ഏട്ടന്റെ സ്ക്രീൻ പ്രസൻസ്	Positive
Addipoli song.... ethra kettatum mathiyaavunnilla sathyam..	Positive
ഇട്ടിച്ചൻ്റെ വക ഒരു സാമ്പിൾ വെടിക്കെട്ട് കൂടി... KATTA WAITING LALETAAA	Positive
31 miniute lucifer  200k views 2 hour madhura raja  80k views	not-malayalam
padam kandu kazhinj kanunnavar adi LIKE	unknown_state
ദിലീപേട്ടനും, കുട്ടികളും തമ്മിൽ  ഒരുഒന്നൊന്നര കോമ്പിനേഷൻ ആണ് 🤩 അതുകൊണ്ട്, ഈ ക്രിസ്മസ് കാലത്ത് ഏറെ പ്രതീക്ഷയോടെ കാത്തിരിക്കുന്ന ഒരു  സിനിമയാണ് My സാന്റാ ദിലീപേട്ട... ട്രൈലെർ കണ്ടതോടെ ആവേശം കൂടി...🥰കിടു Visual Treat ഇനിയുള്ള ദിവസങ്ങൾ ഒരുഫാന്റസി സിനിമയായ  My സാന്റാക്ക്‌ ആയിട്ടുള്ള കാത്തിരിപ്പാണ്...  All The Best Team My Santa  Love Youu Dileeepettttaaa	Positive
innale 7 Mani muthal Kath Kath ninnu trailer nu vendi.....thakarppan trailer .... love you mammukkaaaaaa	Positive
Better get Sam and Dean after him	not-malayalam
ദിലീപേട്ടൻ  ഫാൻസ്‌ ഇന്റെ  വക്കാ .. ഇട്ടിമാണിക്ക്  എല്ലാം  വിധ  ആശംസകളും  nerunii	Positive
ആകെ 200 രൂപയുമുണ്ട് .3 അടിപ്പൻ  പടങ്ങളും ഓണത്തിന് .സൂപ്പറായിട്ടുണ്ട്   LOVE ACTION DRAMA ITTIMAANI BROTHERS DAY	Positive
Prithviraj oru guest role ayelum varam.. yene agrahikunavr undo..??	unknown_state
Powlichu. Njan ipo 25 pravisham kandu. Laletta adipoli. Katta waiting	Positive
Heavy waiting mammukka,ingalu oru sambhavam aanutto	Positive
ഇ പടം hit ആവും എന്നും ജോഷി സാറിന്റെ ഗംബിര തിരിച്ചു വരവ് ആവുമെന്ന് ഉറപ്പുള്ളവർ ഉണ്ടെങ്കിൽ ഞെക്ക് like	unknown_state
Ith adipoli padaman ..njan kandu polichadukki ee padam kandavar like adikkukka	Positive
ട്രൈലെർ  കണ്ടിട്ട് ആവറേജ് മൂവി ആണെന്ന് എന്റെ ഒരു ഇത് ഡയരക്ടർ  സിദ്ദിഖ് ഏട്ടൻ ആയതു കൊണ്ട് ഒരു രക്ഷേം ഇല്ലാ	Mixed_feelings
Ee cbse mammunji pellare etra muttiyalum goven ment schollela pellaruda adute atella	Negative
Sherikkum il prithvirajinte koravu enthayalum undavum	Mixed_feelings
ട്രൈലർ കണ്ടിട്ട് മുമ്പ് എട്ട് നിലയിൽ പൊട്ടിപ്പോയ വാമനപുരം ബസ്റൂട്ട് ഒാർമ വന്നവർക്ക് ലൈക്കടിക്കാനുള്ള കമന്റ്. ഒാണം വിന്നർ ബ്രദേർസ് ഡേ തന്നേയെന്ന് ഒരിക്കൽ കൂടി തെളിയിച്ചു	Negative
ഇത് അടുത്ത രാക്ഷസൻ അല്ല ഒരേ ഒരു * അഞ്ചാം പാതിരാ..*	Positive
Kelkuthorum estam kudi kudi varuund pattinod	Positive
എല്ലാം ശരിയാണ്, പക്ഷേ ഒരേയൊരു ആശങ്ക വിജ്സ് കു വിളയാണ്	Negative
Santosh narayanante song pole thonnum edakku	Mixed_feelings
കാല പട്ടമാധി ഉണ്ടെന്നു പറഞ്ഞാൽ പോരാ	Negative
Mukuthii short film le chechim indalloooo aah kolaaaalooo	Positive
പങ്കാളികളേ, രജനി ബാനർ, ദയവായി ഒരു അഭിപ്രായം രേഖപ്പെടുത്തുക.	Negative
കന്നഡ ഇൻഡസ്‌ട്രി ഡോഡ് അഭിനേതാക്കൾ ഗെ തഗോൾരി ഫിലിം ഗെ ബെരെ ഇൻഡസ്‌ട്രി യാവർണ ജാസ്തി ദഡ്ഡ് കോട്ട് കർകോണ്ട് ബർത്തിര. എല്ലാരും നാണക്കേട് ആൻസൽവാ ഈ മുട്ട് കൊണ്ട് പറഞ്ഞു എന്താവർ എസ്റ്റ് ജന ഇഡാരെ	Negative
Hindukalk Ivan mahiravanan Islaminu Ivan ibilis ennu parayum Christianikalkidayil ivanu oru pere ullu LUCIFER... Goosebumps....	unknown_state
TRAILER കണ്ട് നിർവ്യതിയായി  COMMENTS വായിച്ച് മനസ് നിറക്കാൻ വന്നവർക്ക് ലൈക്ക്  ബട്ടൻ ഒരു മടിയും കൂടാതെ നീലയാക്കാം	unknown_state
Best of luck  Laletta  From Rajuvettan fans	not-malayalam
എന്താന്ന്  അറിയില്ല... എന്തോ  ഒന്നും ഈ പാട്ടിലേക്ക് എന്നെ  ആകർഷിക്കുന്ന പോലെ..	Positive
Njangalude muthanu  ingalu laletta..... Lub u Etta......	Positive
